City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,bayanaul,50.7889,75.6956,76.6,18,6,10.58,KZ,1682674241
163,crane,31.3974,-102.3501,63.01,37,2,11.1,US,1682674242
164,sao joao del rei,-21.1356,-44.2617,61.97,96,18,1.63,BR,1682674242
165,rabaul,-4.1967,152.1721,81.93,77,55,3.42,PG,1682674243
166,kodiak,57.79,-152.4072,35.11,64,75,0.0,US,1682674106
167,jiujiang,29.7333,115.9833,66.06,89,100,9.8,CN,1682674244
168,tangalle,6.024,80.7911,86.16,67,90,7.52,LK,1682674188
169,radford,37.1318,-80.5764,54.9,95,100,6.91,US,1682674245
170,hilo,19.7297,-155.09,75.27,90,0,3.44,US,1682674223
171,talnakh,69.4865,88.3972,20.21,81,68,3.24,RU,1682674013
172,lompoc,34.6391,-120.4579,50.58,97,100,0.0,US,1682674048
173,mata-utu,-13.2816,-176.1745,83.7,75,79,12.33,WF,1682674248
174,acarau,-2.8856,-40.12,72.93,91,45,5.19,BR,1682674187
175,gillette,44.2911,-105.5022,37.06,88,100,11.5,US,1682674197
176,sorong,-0.8833,131.25,82.85,74,98,2.82,ID,1682674059
177,lethem,3.3803,-59.7968,74.03,91,61,6.44,GY,1682674250
178,chos malal,-37.3781,-70.2709,54.32,31,69,7.2,AR,1682674251
179,amahai,-3.3333,128.9167,79.5,87,99,2.01,ID,1682674215
180,alesund,62.4723,6.1549,46.0,53,0,8.05,NO,1682674252
181,zaozersk,69.4005,32.4476,31.73,83,7,17.63,RU,1682674253
182,hefei,31.8639,117.2808,71.62,64,0,6.71,CN,1682674253
183,timaru,-44.4,171.25,52.07,97,2,5.01,NZ,1682674254
184,nova vicosa,-17.8919,-39.3719,72.91,88,0,6.62,BR,1682674104
185,port saint john's,-31.6229,29.5448,74.68,75,81,6.96,ZA,1682674174
186,dunedin,-45.8742,170.5036,54.81,83,2,3.0,NZ,1682674078
187,koforidua,6.0941,-0.2591,78.08,74,100,2.46,GH,1682674256
188,quellon,-43.1167,-73.6167,57.45,94,100,13.8,CL,1682674227
189,horta,38.5333,-28.6333,62.02,79,20,21.0,PT,1682674257
190,marrakesh,31.6315,-8.0083,77.07,50,40,4.61,MA,1682673976
191,karaidel',55.8337,56.9069,59.88,66,64,7.7,RU,1682674258
192,constantia,44.1833,28.65,57.88,50,99,22.59,RO,1682674015
193,dryden,49.7833,-92.7503,26.89,100,0,3.44,CA,1682674259
194,bandar lampung,-5.4254,105.258,83.35,78,100,2.53,ID,1682674027
195,alakurtti,66.9672,30.3491,31.3,92,100,15.12,RU,1682674260
196,ulladulla,-35.35,150.4667,63.77,76,98,5.61,AU,1682674183
197,karratha,-20.7377,116.8463,87.8,32,99,9.13,AU,1682674051
198,tsiombe,-25.3,45.4833,82.62,47,60,14.47,MG,1682674183
199,ust-nera,64.5667,143.2,29.01,91,39,1.19,RU,1682674097
200,kill devil hills,36.0307,-75.676,62.6,96,100,13.8,US,1682674264
201,adre,13.4667,22.2,93.45,27,70,8.46,TD,1682674265
202,iskateley,67.6803,53.1512,26.69,79,100,9.93,RU,1682674003
203,muisne,0.6,-80.0333,77.05,89,100,3.29,EC,1682674266
204,peniche,39.3558,-9.3811,70.29,84,100,11.43,PT,1682674267
205,waddan,29.1614,16.139,75.16,32,0,5.79,LY,1682674013
206,mkushi,-13.6202,29.3939,76.77,40,15,8.75,ZM,1682674268
207,soto la marina,23.7667,-98.2167,73.8,94,12,0.81,MX,1682674131
208,carlsbad,33.1581,-117.3506,59.9,94,100,1.01,US,1682674182
209,notodden,59.5594,9.2585,48.96,38,0,3.44,NO,1682674270
210,rio grande,-32.035,-52.0986,61.97,88,50,3.8,BR,1682674271
211,djambala,-2.5447,14.7533,75.18,79,100,4.27,CG,1682674272
212,uberlandia,-18.9186,-48.2772,67.21,94,0,3.44,BR,1682674272
213,kuybyshev,55.4475,78.3218,73.51,28,95,19.3,RU,1682674273
